央视频道,#genre#
爱尔达体育3台,http://10.10.10.5:1228/stv.php?id=eltasport3_twn
Rugby Pass TV,http://10.10.10.5:1228/stv.php?id=Rugbypasstv
RTM Sports HD,http://10.10.10.5:1228/stv.php?id=Rtmsport
Arena,http://10.10.10.5:1228/stv.php?id=Arena
Arena 2,http://10.10.10.5:1228/stv.php?id=Arena2
BolaArena 1,http://10.10.10.5:1228/stv.php?id=Bolaarena1
BolaArena 2,http://10.10.10.5:1228/stv.php?id=Bolaarena2
Astro Beinsports 1,http://10.10.10.5:1228/stv.php?id=Astrobein1
Astro Beinsports 2,http://10.10.10.5:1228/stv.php?id=Astrobein2
Astro Beinsports 3,http://10.10.10.5:1228/stv.php?id=Astrobein3

儿童频道,#genre#
Baby TV Eng,http://10.10.10.5:1228/stv.php?id=Babytv
CBeebies,http://10.10.10.5:1228/stv.php?id=Cbeebies
Kids TV,http://10.10.10.5:1228/stv.php?id=KidsTV
Momo TV,http://10.10.10.5:1228/stv.php?id=momo1_twn
MiaoMi,http://10.10.10.5:1228/stv.php?id=MiaoMi
Cartoon Network,http://10.10.10.5:1228/stv.php?id=Cn
Nickelodeon,http://10.10.10.5:1228/stv.php?id=Nickelodeon
Nick Jr,http://10.10.10.5:1228/stv.php?id=Nickjr
Baby TV,http://10.10.10.5:1228/stv.php?id=babytv_twn
